URI,name,nmbs_short_name,average_weekday_embarkments,average_saturday_embarkments,average_sunday_embarkments
http://irail.be/stations/NMBS/008895000,Aalst,AALST,5.827,2.271,1.942
http://irail.be/stations/NMBS/008895125,Aalst-Kerrebroek,AALST-KERREBROEK,20,,
http://irail.be/stations/NMBS/008891140,Aalter,AALTER,2.021,794,807
http://irail.be/stations/NMBS/008833209,Aarschot,AARSCHOT,5.240,2.269,2.038
http://irail.be/stations/NMBS/008892288,Aarsele,AARSELE,24,,
http://irail.be/stations/NMBS/008886546,Acren,ACREN,231,93,113
http://irail.be/stations/NMBS/008874583,Aiseau,AISEAU,157,31,41
http://irail.be/stations/NMBS/008831039,Alken,ALKEN,609,231,222
http://irail.be/stations/NMBS/008843331,Amay,AMAY,314,86,67
http://irail.be/stations/NMBS/008843323,Ampsin,AMPSIN,211,55,47
http://irail.be/stations/NMBS/008863404,Andenne,ANDENNE,1.651,305,333
http://irail.be/stations/NMBS/008811940,Anderlecht,ANDERLECHT,699,205,164
http://irail.be/stations/NMBS/008842002,Angleur,ANGLEUR,878,163,181
http://irail.be/stations/NMBS/008841202,Ans,ANS,1.639,169,130
http://irail.be/stations/NMBS/008863818,Anseremme,ANSEREMME,172,54,49
http://irail.be/stations/NMBS/008885522,Antoing,ANTOING,387,174,183
http://irail.be/stations/NMBS/008821121,Antwerpen-Berchem,ANTWERPEN-BERCHEM,14.747,11.372,10.689
http://irail.be/stations/NMBS/008821006,Antwerpen-Centraal,ANTWERPEN-CAAL,37.591,25.163,21.350
http://irail.be/stations/NMBS/008821063,Antwerpen-Luchtbal,ANTWERPEN-LUCHTBAL,532,127,117
http://irail.be/stations/NMBS/008821089,Antwerpen-Noorderdokken,ANTWERPEN-NOORDERDOKKEN,96,21,21
http://irail.be/stations/NMBS/008821196,Antwerpen-Zuid,ANTWERPEN-ZUID,3.338,658,808
http://irail.be/stations/NMBS/008892734,Anzegem,ANZEGEM,247,,
http://irail.be/stations/NMBS/008895745,Appelterre,APPELTERRE,310,57,64
http://irail.be/stations/NMBS/008814472,Arcaden/Arcades,ARCADES,92,,
http://irail.be/stations/NMBS/008811759,Archennes,ARCHENNES,157,62,53
http://irail.be/stations/NMBS/008866001,Arlon,ARLON,5.294,1.441,3.285
http://irail.be/stations/NMBS/008812070,Asse,ASSE,1.223,173,161
http://irail.be/stations/NMBS/008864931,Assesse,ASSESSE,222,42,37
http://irail.be/stations/NMBS/008886009,Ath,ATH,4.287,2.385,2.455
http://irail.be/stations/NMBS/008866605,Athus,ATHUS,970,282,351
http://irail.be/stations/NMBS/008866654,Aubange,AUBANGE,90,21,14
http://irail.be/stations/NMBS/008874716,Auvelais,AUVELAIS,562,261,220
http://irail.be/stations/NMBS/008864352,Aye,AYE,28,10,5
http://irail.be/stations/NMBS/008842754,Aywaille,AYWAILLE,370,85,147
http://irail.be/stations/NMBS/008822160,Baasrode-Zuid,BAASRODE-ZUID,195,,
http://irail.be/stations/NMBS/008895257,Balegem-Dorp,BALEGEM-DORP,273,80,54
http://irail.be/stations/NMBS/008895240,Balegem-Zuid,BALEGEM-ZUID,171,57,49
http://irail.be/stations/NMBS/008832045,Balen,BALEN,257,128,100
http://irail.be/stations/NMBS/008895463,Bambrugge,BAMBRUGGE,31,,
http://irail.be/stations/NMBS/008864451,Barvaux,BARVAUX,523,104,138
http://irail.be/stations/NMBS/008843430,Bas-Oha,BAS-OHA,66,3,13
http://irail.be/stations/NMBS/008811734,Basse-Wavre,BASSE-WAVRE,478,137,108
http://irail.be/stations/NMBS/008863867,Beauraing,BEAURAING,295,120,86
http://irail.be/stations/NMBS/008891124,Beernem,BEERNEM,647,137,166
http://irail.be/stations/NMBS/008814423,Beersel,BEERSEL,270,82,89
http://irail.be/stations/NMBS/008894151,Beervelde,BEERVELDE,547,112,130
http://irail.be/stations/NMBS/008821865,Begijnendijk,BEGIJNENDIJK,257,129,94
http://irail.be/stations/NMBS/008871183,Beignée,BEIGNEE,9,,
http://irail.be/stations/NMBS/008891157,Bellem,BELLEM,122,42,45
http://irail.be/stations/NMBS/008894433,Belsele,BELSELE,277,90,98
http://irail.be/stations/NMBS/008812211,Sint-Agatha-Berchem/Berchem-Sainte-Agathe,BERCHEM-ST-AG.-BERCHEM,1.012,281,262
http://irail.be/stations/NMBS/008832235,Beringen,BERINGEN,88,67,60
http://irail.be/stations/NMBS/008821816,Berlaar,BERLAAR,403,238,208
http://irail.be/stations/NMBS/008865300,Bertrix,BERTRIX,449,165,255
http://irail.be/stations/NMBS/008873320,Berzée,BERZEE,133,30,44
http://irail.be/stations/NMBS/008861424,Beuzet,BEUZET,173,43,25
http://irail.be/stations/NMBS/008894748,Beveren,BEVEREN,1.548,256,303
http://irail.be/stations/NMBS/008832227,Beverlo,BEVERLO,98,85,42
http://irail.be/stations/NMBS/008811718,Bierges-Walibi,BIERGES-WALIBI,187,929,687
http://irail.be/stations/NMBS/008841319,Bierset-Awans,BIERSET-AWANS,151,64,61
http://irail.be/stations/NMBS/008831138,Bilzen,BILZEN,680,216,313
http://irail.be/stations/NMBS/008882362,Binche,BINCHE,390,271,236
http://irail.be/stations/NMBS/008896388,Bissegem,BISSEGEM,290,191,223
http://irail.be/stations/NMBS/008891405,Blankenberge,BLANKENBERGE,1.899,1.704,2.063
http://irail.be/stations/NMBS/008861531,Blanmont,BLANMONT,219,63,39
http://irail.be/stations/NMBS/008884715,Blaton,BLATON,508,221,164
http://irail.be/stations/NMBS/008841434,Bleret,BLERET,61,24,22
http://irail.be/stations/NMBS/008812021,Bockstael,BOCKSTAEL,1.120,256,231
http://irail.be/stations/NMBS/008821634,Boechout,BOECHOUT,492,186,180
http://irail.be/stations/NMBS/008811437,Bosvoorde/Boitsfort,BOITSFORT/BOSVOORDE,1.077,261,208
http://irail.be/stations/NMBS/008831781,Bokrijk,BOKRIJK,247,103,183
http://irail.be/stations/NMBS/008864469,Bomal,BOMAL,201,153,100
http://irail.be/stations/NMBS/008821857,Booischot,BOOISCHOT,244,139,109
http://irail.be/stations/NMBS/008822814,Boom,BOOM,569,175,157
http://irail.be/stations/NMBS/008814456,Boondaal/Boondael,BOONDAEL/BOONDAAL,929,119,116
http://irail.be/stations/NMBS/008822475,Boortmeerbeek,BOORTMEERBEEK,614,189,218
http://irail.be/stations/NMBS/008811163,Bordet,BORDET,1.337,231,183
http://irail.be/stations/NMBS/008822772,Bornem,BORNEM,682,344,365
http://irail.be/stations/NMBS/008884319,Boussu,BOUSSU,175,97,102
http://irail.be/stations/NMBS/008821725,Bouwel,BOUWEL,418,257,275
http://irail.be/stations/NMBS/008881463,Bracquegnies,BRACQUEGNIES,127,47,33
http://irail.be/stations/NMBS/008814258,Braine-l'Alleud,BRAINE-l'ALLEUD,5.171,1.406,903
http://irail.be/stations/NMBS/008883006,Braine-le-Comte,BRAINE-LE-COMTE,5.625,2.144,1.696
http://irail.be/stations/NMBS/008843901,Bressoux,BRESSOUX,149,40,18
http://irail.be/stations/NMBS/008819406,Brussels Airport - Zaventem,BRU. AIRPORT - ZAVENTEM,9.944,8.131,7.654
http://irail.be/stations/NMBS/008813003,Brussel-Centraal/Bruxelles-Central,BRU.-CENT.,58.877,26.916,24.764
http://irail.be/stations/NMBS/008813037,Brussel-Kapellekerk/Bruxelles-Chapelle,BRU.-CHAP./KAP.,244,,
http://irail.be/stations/NMBS/008813045,Brussel-Congres/Bruxelles-Congrès,BRU.-CONG.,541,,
http://irail.be/stations/NMBS/008811304,Brussel-Luxemburg/Bruxelles-Luxembourg,BRU.-LUXEMBG,6.923,1.988,1.693
http://irail.be/stations/NMBS/008814001,Brussel-Zuid/Bruxelles-Midi,BRU.-MIDI/ZUID,58.344,33.469,32.344
http://irail.be/stations/NMBS/008812005,Brussel-Noord/Bruxelles-Nord,BRU.-NOORD/NORD,60.449,20.825,17.991
