URI,name,street,zip,city,ticket_vending_machine,luggage_lockers,free_parking,taxi,bicycle_spots,blue-bike,bus,tram,metro,wheelchair_available,ramp,disabled_parking_spots,elevated_platform,escalator_up,escalator_down,elevator_platform,audio_induction_loop,sales_open_monday,sales_close_monday,sales_open_tuesday,sales_close_tuesday,sales_open_wednesday,sales_close_wednesday,sales_open_thursday,sales_close_thursday,sales_open_friday,sales_close_friday,sales_open_saturday,sales_close_saturday,sales_open_sunday,sales_close_sunday
http://irail.be/stations/NMBS/008734201,Arras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008015345,Aachen Hbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008895000,Aalst,Stationsplein 9,9300,Aalst,1,0,1,1,1,1,1,0,0,1,1,4,1,0,0,1,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:00,20:00,06:00,20:00
http://irail.be/stations/NMBS/008895125,Aalst-Kerrebroek,Ledebaan,9300,Aalst,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008891140,Aalter,Stationsplein 2,9880,Aalter,1,0,1,0,1,1,1,0,0,0,0,4,0,0,0,0,1,07:00,14:15,07:00,14:15,07:00,14:15,07:00,14:15,07:00,14:15,07:45,15:00,07:45,15:00
http://irail.be/stations/NMBS/008833209,Aarschot,Statieplein,3200,Aarschot,1,0,1,0,1,1,1,0,0,1,1,3,0,0,0,0,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:00,20:00,07:00,14:15
http://irail.be/stations/NMBS/008892288,Aarsele,Hogenhovenstraat Zn,8700,Aarsele,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008886546,Acren,Rue De La Station,7864,Deux-Acren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008778127,Agde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008774176,Aime-la-Plagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008874583,Aiseau,Rue De Tergnée,6250,Aiseau-Presles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008731901,Aix-en-Provence TGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008774164,Albertville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008831039,Alken,Stationsstraat,3570,Alken,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008843331,Amay,Place Gustave Rome 10,4540,Amay,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008843323,Ampsin,Rue Des Ganons 10,4540,Ampsin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008400058,Amsterdam CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008863404,Andenne,Rue De La Station  47 B,5300,Seilles,1,1,1,1,1,0,1,0,0,0,1,3,0,0,0,0,1,06:00,13:15,06:00,13:15,06:00,13:15,06:00,13:15,06:00,13:15,07:15,14:30,,
http://irail.be/stations/NMBS/008842002,Angleur,Rue Denis Lecoq,4031,Angleur,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008728685,Annappes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008841202,Ans,Rue De La Station 85,4430,Ans,1,0,1,0,1,0,1,0,0,0,1,5,1,0,0,0,1,06:45,14:00,06:45,14:00,06:45,14:00,06:45,14:00,06:45,14:00,,,,
http://irail.be/stations/NMBS/008863818,Anseremme,Rue Des Tilleuls,5500,Anseremme,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008775767,Antibes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008885522,Antoing,Rue De La Station,7640,Antoing,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821121,Antwerpen-Berchem,Burgemeester Edgar Ryckaertsplein 1,2600,Berchem,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:15,20:30,06:30,20:30
http://irail.be/stations/NMBS/008821006,Antwerpen-Centraal,Koningin Astridplein 27,2018,Antwerpen,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,05:45,22:00,05:45,22:00,05:45,22:00,05:45,22:00,05:45,22:00,05:45,22:00,05:45,22:00
http://irail.be/stations/NMBS/008821030,Antwerpen-Dam,Damplein,2060,Antwerpen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821048,Antwerpen-Haven,Noorderlaan,2000,Antwerpen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821063,Antwerpen-Luchtbal,Groendaellaan,2060,Antwerpen,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821089,Antwerpen-Noorderdokken,ArgentiniËlaan,2030,Antwerpen,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821022,Antwerpen-Oost,Plantin En Moretuslei,2018,Antwerpen,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821196,Antwerpen-Zuid,Kolonel Silvertopstraat,2020,Antwerpen,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008892734,Anzegem,Statieplein 3,8570,Anzegem,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008895745,Appelterre,'T Angereelstraat 101,9400,Appelterre - Ninove,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
