URI,name,alternative-fr,alternative-nl,alternative-de,alternative-en,taf-tap-code,telegraph-code,country-code,longitude,latitude,avg_stop_times,official_transfer_time
http://irail.be/stations/NMBS/008400319,'s Hertogenbosch,,,,,,,nl,5.29427800,51.6904200,0.022857,300
http://irail.be/stations/NMBS/008015345,Aachen Hbf,Aix-la-Chapelle Hbf,Aken Hbf,,,,,de,6.105275,50.770832,29.84,300
http://irail.be/stations/NMBS/008895000,Aalst,Alost,,,,BE00006,FLS,be,4.039653,50.942813,134.657143,300
http://irail.be/stations/NMBS/008895125,Aalst-Kerrebroek,Alost Kerrebroek,,,,BE00104,FLSK,be,4.024407,50.948377,6.72,300
http://irail.be/stations/NMBS/008891140,Aalter,,,,,BE00008,FLT,be,3.447848,51.092295,188.16,240
http://irail.be/stations/NMBS/008833209,Aarschot,,,,,BE00009,FRST,be,4.824043,50.984406,190.84,240
http://irail.be/stations/NMBS/008892288,Aarsele,,,,,BE00010,FAR,be,3.418363,50.98446,39.485714,300
http://irail.be/stations/NMBS/008886546,Acren,,Akren,,,BE00012,FXA,be,3.847086,50.733095,36.811429,300
http://irail.be/stations/NMBS/008727149,Aéroport Charles-de-Gaulle TGV,,,,,,,fr,2.571123,49.003955,0,
http://irail.be/stations/NMBS/008778127,Agde,,,,,,,fr,3.465800,43.317498,0,
http://irail.be/stations/NMBS/008774176,Aime-la-Plagne,,,,,,,fr,6.648394,45.554202,0,
http://irail.be/stations/NMBS/008874583,Aiseau,,,,,BE00016,FAO,be,4.584552,50.429529,107.022857,300
http://irail.be/stations/NMBS/008731901,Aix-en-Provence TGV,,,,,,,fr,5.43333300,43.5333300,0,
http://irail.be/stations/NMBS/008774164,Albertville,,,,,,,fr,6.383617,45.673624,0,
http://irail.be/stations/NMBS/008831039,Alken,,,,,BE00019,FAK,be,5.292866,50.886837,39.245714,300
http://irail.be/stations/NMBS/008843331,Amay,,,,,BE00022,NM,be,5.32049,50.546011,90.977143,300
http://irail.be/stations/NMBS/008843323,Ampsin,,,,,BE00024,NA,be,5.289729,50.539215,90.977143,300
http://irail.be/stations/NMBS/008400058,Amsterdam CS,,,,,,,nl,4.91666700,52.3500000,31.474286,300
http://irail.be/stations/NMBS/008863404,Andenne,,,,,BE00025,NDN,be,5.094699,50.496759,88.885714,300
http://irail.be/stations/NMBS/008811940,Anderlecht,,,,,BE02089,ANDL,be,4.29180000,50.8179000,236.937143,300
http://irail.be/stations/NMBS/008842002,Angleur,,,,,BE00027,MGR,be,5.599695,50.613152,150.897143,300
http://irail.be/stations/NMBS/008728685,Annappes,,,,,,,fr,3.15000000,50.6333330,3.622857,300
http://irail.be/stations/NMBS/008841202,Ans,,,,,BE00031,ANS,be,5.509704,50.661208,116.234286,300
http://irail.be/stations/NMBS/008863818,Anseremme,,,,,BE00034,MNS,be,4.90553,50.238023,28.497143,300
http://irail.be/stations/NMBS/008775767,Antibes,,,,,,,fr,7.1201361,43.586618,0,
http://irail.be/stations/NMBS/008885522,Antoing,,,,,BE00035,FNT,be,3.451309,50.569626,64.468571,300
http://irail.be/stations/NMBS/008821121,Antwerpen-Berchem,Anvers-Berchem,,,Antwerp-Berchem,BE00139,FCV,be,4.432221,51.19923,639.057143,300
http://irail.be/stations/NMBS/008821006,Antwerpen-Centraal,Anvers-Central,,,Antwerp-Central,BE00037,FN,be,4.421101,51.2172,652.691429,300
http://irail.be/stations/NMBS/008821030,Antwerpen-Dam,Anvers-Dam,Antwerpen-Dam,,,,,be,4.42623800,51.2319910,2.262857,300
http://irail.be/stations/NMBS/008821048,Antwerpen-Haven,Anvers-Haven,,,Antwerp-Haven,BE00030,FNH,be,4.379086,51.289968,0,
http://irail.be/stations/NMBS/008821063,Antwerpen-Luchtbal,Anvers-Luchtbal,,,Antwerp-Luchtbal,BE00042,FNLB,be,4.425029,51.244132,116.068571,300
http://irail.be/stations/NMBS/008821089,Antwerpen-Noorderdokken,Anvers-Noorderdokken,,,Antwerp-Noorderdokken,BE00058,AND,be,4.427906,51.261643,75.64,240
http://irail.be/stations/NMBS/008821022,Antwerpen-Oost,Anvers-Est,,,Antwerp-East,BE00061,GNS,be,4.436392,51.207357,2.262857,300
http://irail.be/stations/NMBS/008821196,Antwerpen-Zuid,Anvers-Sud,,,Antwerp-South,BE00064,FNZD,be,4.390259,51.197828,196.857143,300
http://irail.be/stations/NMBS/008892734,Anzegem,,,,,BE00066,FAN,be,3.495014,50.826385,83.971429,300
http://irail.be/stations/NMBS/008895745,Appelterre,,,,,BE00067,MAP,be,3.972108,50.813063,47.245714,300
http://irail.be/stations/NMBS/008814472,Arcaden/Arcades,Arcades,Arcaden,Arcades,Arcaden,BE01912,GAR,be,4.398333,50.809722,85.965714,300
http://irail.be/stations/NMBS/008811759,Archennes,,Eerken,,,BE00068,ARC,be,4.662444,50.754345,54.857143,300
http://irail.be/stations/NMBS/008866001,Arlon,,Aarlen,Arel,,BE00070,LL,be,5.809971,49.68053,137.131429,120
http://irail.be/stations/NMBS/008734201,Arras,,,,,,,fr,2.78169000,50.2868300,0,
http://irail.be/stations/NMBS/008728686,Ascq,,,,,,,fr,3.166666,50.616666,32.188571,300
http://irail.be/stations/NMBS/008812070,Asse,,,,,BE00074,LAS,be,4.207985,50.906488,88.6,300
http://irail.be/stations/NMBS/008864931,Assesse,,,,,BE00075,MAS,be,5.022839,50.368133,74.371429,300
http://irail.be/stations/NMBS/008886009,Ath,,Aat,,,BE00077,ATH,be,3.777429,50.626932,107.92,300
