URI,parent_stop,longitude,latitude,name,alternative-nl,alternative-fr,alternative-de,alternative-en,platform
http://irail.be/stations/NMBS/008821022#3,http://irail.be/stations/NMBS/008821022,4.43639500,51.2073600,Antwerpen-Oost platform 3,Antwerpen-Oost perron 3,Anvers-Est voie 3,Antwerpen-Oost gleiss 3,Antwerp-East platform 3,3
http://irail.be/stations/NMBS/008821022#4,http://irail.be/stations/NMBS/008821022,4.43639500,51.2073600,Antwerpen-Oost platform 4,Antwerpen-Oost perron 4,Anvers-Est voie 4,Antwerpen-Oost gleiss 4,Antwerp-East platform 4,4
http://irail.be/stations/NMBS/008891140#1,http://irail.be/stations/NMBS/008891140,3.44784800,51.0923000,Aalter platform 1,Aalter perron 1,Aalter voie 1,Aalter gleiss 1,Aalter platform 1,1
http://irail.be/stations/NMBS/008891140#2,http://irail.be/stations/NMBS/008891140,3.44784800,51.0923000,Aalter platform 2,Aalter perron 2,Aalter voie 2,Aalter gleiss 2,Aalter platform 2,2
http://irail.be/stations/NMBS/008891140#3,http://irail.be/stations/NMBS/008891140,3.44784800,51.0923000,Aalter platform 3,Aalter perron 3,Aalter voie 3,Aalter gleiss 3,Aalter platform 3,3
http://irail.be/stations/NMBS/008891140#4,http://irail.be/stations/NMBS/008891140,3.44784800,51.0923000,Aalter platform 4,Aalter perron 4,Aalter voie 4,Aalter gleiss 4,Aalter platform 4,4
http://irail.be/stations/NMBS/008833209#1,http://irail.be/stations/NMBS/008833209,4.82404000,50.9844100,Aarschot platform 1,Aarschot perron 1,Aarschot voie 1,Aarschot gleiss 1,Aarschot platform 1,1
http://irail.be/stations/NMBS/008833209#2,http://irail.be/stations/NMBS/008833209,4.82404000,50.9844100,Aarschot platform 2,Aarschot perron 2,Aarschot voie 2,Aarschot gleiss 2,Aarschot platform 2,2
http://irail.be/stations/NMBS/008833209#3,http://irail.be/stations/NMBS/008833209,4.82404000,50.9844100,Aarschot platform 3,Aarschot perron 3,Aarschot voie 3,Aarschot gleiss 3,Aarschot platform 3,3
http://irail.be/stations/NMBS/008833209#4,http://irail.be/stations/NMBS/008833209,4.82404000,50.9844100,Aarschot platform 4,Aarschot perron 4,Aarschot voie 4,Aarschot gleiss 4,Aarschot platform 4,4
http://irail.be/stations/NMBS/008833209#5,http://irail.be/stations/NMBS/008833209,4.82404000,50.9844100,Aarschot platform 5,Aarschot perron 5,Aarschot voie 5,Aarschot gleiss 5,Aarschot platform 5,5
http://irail.be/stations/NMBS/008892288#1,http://irail.be/stations/NMBS/008892288,3.41836000,50.9844600,Aarsele platform 1,Aarsele perron 1,Aarsele voie 1,Aarsele gleiss 1,Aarsele platform 1,1
http://irail.be/stations/NMBS/008892288#2,http://irail.be/stations/NMBS/008892288,3.41836000,50.9844600,Aarsele platform 2,Aarsele perron 2,Aarsele voie 2,Aarsele gleiss 2,Aarsele platform 2,2
http://irail.be/stations/NMBS/008886546#1,http://irail.be/stations/NMBS/008886546,3.84709000,50.7331000,Acren platform 1,Akren perron 1,Acren voie 1,Acren gleiss 1,Acren platform 1,1
http://irail.be/stations/NMBS/008886546#2,http://irail.be/stations/NMBS/008886546,3.84709000,50.7331000,Acren platform 2,Akren perron 2,Acren voie 2,Acren gleiss 2,Acren platform 2,2
http://irail.be/stations/NMBS/008874583#1,http://irail.be/stations/NMBS/008874583,4.58455000,50.4295300,Aiseau platform 1,Aiseau perron 1,Aiseau voie 1,Aiseau gleiss 1,Aiseau platform 1,1
http://irail.be/stations/NMBS/008874583#2,http://irail.be/stations/NMBS/008874583,4.58455000,50.4295300,Aiseau platform 2,Aiseau perron 2,Aiseau voie 2,Aiseau gleiss 2,Aiseau platform 2,2
http://irail.be/stations/NMBS/008831039#1,http://irail.be/stations/NMBS/008831039,5.29286700,50.8868300,Alken platform 1,Alken perron 1,Alken voie 1,Alken gleiss 1,Alken platform 1,1
http://irail.be/stations/NMBS/008831039#2,http://irail.be/stations/NMBS/008831039,5.29286700,50.8868300,Alken platform 2,Alken perron 2,Alken voie 2,Alken gleiss 2,Alken platform 2,2
http://irail.be/stations/NMBS/008895000#1,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 1,Aalst perron 1,Alost voie 1,Aalst gleiss 1,Aalst platform 1,1
http://irail.be/stations/NMBS/008895000#2,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 2,Aalst perron 2,Alost voie 2,Aalst gleiss 2,Aalst platform 2,2
http://irail.be/stations/NMBS/008895000#3,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 3,Aalst perron 3,Alost voie 3,Aalst gleiss 3,Aalst platform 3,3
http://irail.be/stations/NMBS/008895000#4,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 4,Aalst perron 4,Alost voie 4,Aalst gleiss 4,Aalst platform 4,4
http://irail.be/stations/NMBS/008895000#5,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 5,Aalst perron 5,Alost voie 5,Aalst gleiss 5,Aalst platform 5,5
http://irail.be/stations/NMBS/008895000#6,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 6,Aalst perron 6,Alost voie 6,Aalst gleiss 6,Aalst platform 6,6
http://irail.be/stations/NMBS/008895000#7,http://irail.be/stations/NMBS/008895000,4.03964900,50.9428200,Aalst platform 7,Aalst perron 7,Alost voie 7,Aalst gleiss 7,Aalst platform 7,7
http://irail.be/stations/NMBS/008895125#1,http://irail.be/stations/NMBS/008895125,4.02441200,50.9483800,Aalst-Kerrebroek platform 1,Aalst-Kerrebroek perron 1,Alost Kerrebroek voie 1,Aalst-Kerrebroek gleiss 1,Aalst-Kerrebroek platform 1,1
http://irail.be/stations/NMBS/008843331#1,http://irail.be/stations/NMBS/008843331,5.32049000,50.5460100,Amay platform 1,Amay perron 1,Amay voie 1,Amay gleiss 1,Amay platform 1,1
http://irail.be/stations/NMBS/008843331#2,http://irail.be/stations/NMBS/008843331,5.32049000,50.5460100,Amay platform 2,Amay perron 2,Amay voie 2,Amay gleiss 2,Amay platform 2,2
http://irail.be/stations/NMBS/008843323#1,http://irail.be/stations/NMBS/008843323,5.28972700,50.5392200,Ampsin platform 1,Ampsin perron 1,Ampsin voie 1,Ampsin gleiss 1,Ampsin platform 1,1
http://irail.be/stations/NMBS/008843323#2,http://irail.be/stations/NMBS/008843323,5.28972700,50.5392200,Ampsin platform 2,Ampsin perron 2,Ampsin voie 2,Ampsin gleiss 2,Ampsin platform 2,2
http://irail.be/stations/NMBS/008863404#1,http://irail.be/stations/NMBS/008863404,5.09470100,50.4967700,Andenne platform 1,Andenne perron 1,Andenne voie 1,Andenne gleiss 1,Andenne platform 1,1
